league_id,year,placement,username,user_id,payout,playoff
832718546487357440,2022,1,smlederer,465636493809938432,225,1
832718546487357440,2022,2,HeMarv,728408081750405120,150,1
832718546487357440,2022,3,mattdemichiel,469921663765442560,45,1
832718546487357440,2022,4,LEDRs,465633370747957248,0,1
832718546487357440,2022,5,twtytwty,472234548525002752,0,1
832718546487357440,2022,6,Subject2Change,471147635869216768,0,1
832718546487357440,2022,7,H1nduHammer,731254033469263872,0,0
832718546487357440,2022,8,aleith,469319841732358144,0,0
832718546487357440,2022,9,nlfish28,472159133173280768,0,0
832718546487357440,2022,10,Mnorts,866029249553944576,0,0
832718546487357440,2022,11,zgreen1017,469271575548391424,0,0
832718546487357440,2022,12,bbrbr,466716381887328256,0,0
725436926651334656,2021,1,H1nduHammer,731254033469263872,225,1
725436926651334656,2021,2,bbrbr,466716381887328256,150,1
725436926651334656,2021,3,smlederer,465636493809938432,45,1
725436926651334656,2021,4,aleith,469319841732358144,0,1
725436926651334656,2021,5,HeMarv,728408081750405120,0,1
725436926651334656,2021,6,LEDRs,465633370747957248,0,1
725436926651334656,2021,7,twtytwty,472234548525002752,0,0
725436926651334656,2021,8,nlfish28,472159133173280768,0,0
725436926651334656,2021,9,Subject2Change,471147635869216768,0,0
725436926651334656,2021,10,Dorothy,471806540358086656,0,0
725436926651334656,2021,11,mattdemichiel,469921663765442560,0,0
725436926651334656,2021,12,zgreen1017,469271575548391424,0,0
547132506352435200,2020,1,aleith,469319841732358144,200,1
547132506352435200,2020,2,Dorothy,471806540358086656,115,1
547132506352435200,2020,3,bbrbr,466716381887328256,35,1
547132506352435200,2020,4,nlfish28,472159133173280768,0,1
547132506352435200,2020,5,smlederer,465636493809938432,0,0
547132506352435200,2020,6,twtytwty,472234548525002752,0,0
547132506352435200,2020,7,LEDRs,465633370747957248,0,0
547132506352435200,2020,8,Subject2Change,471147635869216768,0,0
547132506352435200,2020,9,zgreen1017,469271575548391424,0,0
547132506352435200,2020,10,mattdemichiel,469921663765442560,0,0
465633540789235712,2019,1,Subject2Change,471147635869216768,200,1
465633540789235712,2019,2,aleith,469319841732358144,115,1
465633540789235712,2019,3,bbrbr,466716381887328256,35,1
465633540789235712,2019,4,smlederer,465636493809938432,0,1
465633540789235712,2019,5,twtytwty,472234548525002752,0,0
465633540789235712,2019,6,LEDRs,465633370747957248,0,0
465633540789235712,2019,7,Dorothy,471806540358086656,0,0
465633540789235712,2019,8,nlfish28,472159133173280768,0,0
465633540789235712,2019,9,mattdemichiel,469921663765442560,0,0
465633540789235712,2019,10,zgreen1017,469271575548391424,0,0
